xml:id,wikidata,name_alias,forename,surname,birth_date,birth_place,death_date,death_place,type,role,commentaire,validation,compte,birth_place_qid,death_place_qid
Aristote,https://www.wikidata.org/wiki/Q868,,,Aristote,-384,Q846127,-322,Q21235810,"auteur(e) de textes,philosophe",philosophe grec de l'Antiquité (384-322 av. J.-C.),,4,419,Q846127,Q21235810
NicolasPoussin,http://www.wikidata.org/entity/Q41554,Nicolas Poussin,Nicolas,Poussin,1594-06,Andelys,1665-11-19,Rome,"artiste,peintre",peintre français,,4,407,Q209770,Q220
SaintJean,https://www.wikidata.org/wiki/Q44015,,Jean,Saint Jean,11,Q501773,99,Ephese,saint(e),"apôtre, évangéliste et disciple de Jésus-Christ",,4,401,Q501773,Q47611
JulesCesar,https://www.wikidata.org/wiki/Q1048,,Jules,Cesar,-100-07,Rome,-44-03-15,Q944814,"personnage politique,militaire",général et homme d'État romain (100-44 av. J.-C.),,4,396,Q220,Q944814
Cimabue,http://www.wikidata.org/entity/Q15790,Cimabue,Cenni,di Pepo,1240,Florence,1302,Pise,"artiste,peintre",peintre italien (1240–1302),,4,370,Q2044,Q13375
Hercule,https://www.wikidata.org/wiki/Q122248,,,Hercule,,Thebes,,,personnage mythologique,"héros de la mythologie grecque, fils de Zeus et d’Alcmène",,4,364,Q11225429,
PeterPaulRubens,http://www.wikidata.org/entity/Q5599,Pierre Paul Rubens,Peter Paul,Rubens,1577-06-28,Q3167,1640-05-30,Anvers,"artiste,peintre",peintre flamand,,4,337,Q3167,Q12892
Dante,http://www.wikidata.org/entity/Q1067,Dante,Dante,Alighieri,1265-05-30,Florence,1321-09-14,Ravenna,auteur(e) de textes,"poète, homme politique et écrivain florentin",,4,330,Q2044,Q13364
GuidoReni,http://www.wikidata.org/entity/Q109061,Guido Reni,Guido,Reni,1575-11-04,Bologne,1642-08-18,Bologne,"artiste,peintre",peintre italien (1575–1642),,4,319,Q1891,Q1891
Diane,https://www.wikidata.org/wiki/Q132543,,,Diane,,,,,personnage mythologique,"déesse de la chasse et de la Lune dans la mythologie romaine, assimilée à la déesse grecque Artémis",,4,317,,
SaintPierre,https://www.wikidata.org/wiki/Q33923,,,Saint Pierre,-1,Q501773,65,Q18287233,saint(e),apôtre de Jésus Christ,,4,301,Q501773,Q18287233
MarieMadeleine,https://www.wikidata.org/wiki/Q63070,Marie Madeleine,Marie de,Magdala,,Q4880851,100,Ephese,personnage biblique,disciple de Jésus,,4,300,Q4880851,Q47611
Maggiore,http://www.wikidata.org/entity/Q18508239,,,,1550,Milan,1598,Rome,non identifié,"craftspeople, turners",,2,286,Q490,Q220
GiulioRomano,http://www.wikidata.org/entity/Q215305,Giulio Romano,Giulio,di Pietro di Filippo de Gianuzzi,1499,Rome,1546-11-01,Mantoue,"artiste,architecte,peintre",peintre et architecte italien de la Renaissance,,4,286,Q220,Q6247
CosimoBartoli,http://www.wikidata.org/entity/Q1136048,Cosimo Bartoli,Cosimo,Bartoli,1503-12-20,Florence,1572-10-25,Florence,auteur(e) de textes,littérateur et philologue italien,,4,285,Q2044,Q2044
Platon,https://www.wikidata.org/wiki/Q859,,,Platon,-428,Q1524,-348,Q1524,"auteur(e) de textes,philosophe",philosophe grec antique,,4,281,Q1524,Q1524
Bacchus,https://www.wikidata.org/wiki/Q645312,,,Bacchus,,,,,personnage mythologique,dieu romain,,4,280,,
Bramante,http://www.wikidata.org/entity/Q7793,Bramante,Donato,di Angelo di Pascuccio,1443,Q190623,1514-04-11,Rome,"artiste,architecte",architecte et peintre italien,,4,279,Q190623,Q220
FedericoZuccaro,http://www.wikidata.org/entity/Q345605,Federico Zuccaro,Federico,Zuccari,1539,SantAngeloInVado,1609-07-20,Ancone,"artiste,peintre",peintre italien,,4,278,Q493800,Q3415
Mars,https://www.wikidata.org/wiki/Q112,,,Mars,,,,,personnage mythologique,dieu romain de la guerre,,4,272,,
BuonamicoBuffalmacco,http://www.wikidata.org/entity/Q972487,Buonamico Buffamalcco,Buonamico,Buffamalcco,1262,Florence,1340,Florence,"artiste,peintre",peintre italien,,4,265,Q2044,Q2044
Pamphile,https://www.wikidata.org/wiki/Q1346505,,,Pamphile d'Amphipolis,-390,Q217414,-400,Pella,"auteur(e) de textes,philosophe",peintre de la Grèce antique,,4,261,Q217414,Q213679
Mercure,https://www.wikidata.org/wiki/Q1150,,,Mercure,,,,,personnage mythologique,dieu romain,,4,253,,
Dominiquin,http://www.wikidata.org/entity/Q320118,Dominiquin,Domenico,Zampieri,1581-10-21,Bologne,1641-04-15,Naples,"artiste,peintre",peintre italien,,4,246,Q1891,Q2634
RossoFiorentino,http://www.wikidata.org/entity/Q312617,Rosso Fiorentino,Giovanni Battista,di Jacopo,1494-03-08,Florence,1540-11-14,Fontainebleau,"artiste,peintre",peintre et graveur italien,,4,239,Q2044,Q182872
AlbrechtDurer,http://www.wikidata.org/entity/Q5580,Albrecht Dürer,Albrecht,Dürer,1471-05-21,Nuremberg,1528-04-06,Nuremberg,"artiste,peintre,graveur(euse)","peintre, graveur et mathématicien allemand (1471–1528)",,4,226,Q2090,Q2090
SaintFrancois,https://www.wikidata.org/wiki/Q676555,,François d',Assise,1182-06-24,Assise,1226-10-03,Q510041,saint(e),"saint catholique et fondateur de l'ordre franciscain, fin XIIe - début XIIIe siècle",,4,224,Q20103,Q510041
Constantin,https://www.wikidata.org/wiki/Q8413,Constantin le Grand,,Constantin Ier,0272-02-27,Q129259,0337-05-22,Q209349,personnage politique,empereur romain de 310 à 337,,4,204,Q129259,Q209349
PietroBuonaccorsi,http://www.wikidata.org/entity/Q918778,Perino del Vaga,Piero,di Giovanni Bonaccorsi,1501-07-03,Florence,1547-10-29,Rome,"artiste,peintre",peintre italien,,4,200,Q2044,Q220
AnnibaleCarracci,http://www.wikidata.org/entity/Q7824,Annibale Carracci,Annibale,Carracci,1560-11-03,Bologne,1609-07-15,Rome,"artiste,peintre",peintre et graveur italien (1560-1609),,4,198,Q1891,Q220
Auguste,https://www.wikidata.org/wiki/Q1405,,,Auguste,-63-09-23,Rome,14-08-19,Q72288,personnage politique,premier empereur romain de 27 av. J.-C. à 14,,4,193,Q220,Q72288
Damon,https://www.wikidata.org/wiki/Q2346819,Damon le Musicien,Damon d',Athènes,-450,Q1524,,,"artiste,compositeur,personnage politique",théoricien de la musique antique,,4,192,Q1524,
Adam,https://www.wikidata.org/wiki/Q70899,,,Adam,,Q19014,,,personnage biblique,premier humain selon le récit des religions abrahamiques,,4,189,Q19014,
LeonX,https://www.wikidata.org/wiki/Q49237,Leon X,Jean de,Medicis,1475-12-11,Florence,1521-12-01,Rome,pape,"217e pape de l'Église catholique, de 1513 à 1521",,4,187,Q2044,Q220
Correge,http://www.wikidata.org/entity/Q8457,Il Corregio,Antonio Allegri,da Correggio,1489-08-30,Correggio,1534-03-05,Correggio,"artiste,peintre",peintre italien de la Renaissance (1489–1534),,4,182,Q111176,Q111176
Perugin,http://www.wikidata.org/entity/Q5827,Il Perugino,Pietro,di Cristoforo Vannucci,1448,Q20409,1523,Q1070894,"artiste,peintre",peintre italien de la Renaissance,,4,178,Q20409,Q1070894
Caravage,http://www.wikidata.org/entity/Q42207,Le Caravage,Michelangelo Merisi,da Caravaggio,1571-09-29,Milan,1610-07-18,PortoErcole,"artiste,peintre",peintre italien (1571–1610),,4,178,Q490,Q1394400
Giorgione,http://www.wikidata.org/entity/Q8459,Giorgione,Giorgio,Barbarelli,1478,CastelFranco,1510,Venise,"artiste,peintre",peintre du Cinquecento italien (1478–1510),,4,173,Q29352,Q641
Zeuxis,https://www.wikidata.org/wiki/Q197044,,,Zeuxis,-500,Heraclee,-400,Q1524,"artiste,peintre",peintre grec de l'Antiquité,,4,173,Q1568583,Q1524
Carrache,,,,,,,,,,"families, artist, painter",,2,172,,
Masaccio,http://www.wikidata.org/entity/Q5811,Masaccio,Giovanni,di Giovanni Cassai,1401-12-21,Q52097,1428,Rome,"artiste,peintre",peintre italien (1401-1428),,4,169,Q52097,Q220
GiovanniPaoloLomazzo,http://www.wikidata.org/entity/Q982538,Giovanni Paolo Lomazzo,Giovanni Paolo,Lomazzo,1538-05-06,Milan,1592-01-27,Milan,"artiste,peintre",peintre italien,,4,166,Q490,Q490
LeonBattistaAlberti,http://www.wikidata.org/entity/Q182046,Leon Battista Alberti,Leon Battista,Alberti,1404-02-14,Genes,1472-04-25,Rome,"auteur(e) de textes,architecte,mathématicien,philosophe,peintre","architecte, sculpteur, musicien humaniste italien (1404-1472)",,4,156,Q1449,Q220
Cupidon,https://www.wikidata.org/wiki/Q5011,,,Cupidon,,,,,personnage mythologique,dieu de l'amour dans la mythologie romaine,,4,156,,
Junon,https://www.wikidata.org/wiki/Q125046,,,Junon,,,,,personnage mythologique,déesse romaine,,4,156,,
Minerve,https://www.wikidata.org/wiki/Q126916,,,Minerve,,,,,personnage mythologique,déesse romaine,,4,156,,
AndreaDelSarto,http://www.wikidata.org/entity/Q5571,Andrea del Sarto,Andrea,d'Agnolo di Francesco di Luca di Paolo del Migliore Vannucchi,1487-07-16,Florence,1530-09-29,Florence,"artiste,peintre",peintre italien,,4,154,Q2044,Q2044
Plutarque,https://www.wikidata.org/wiki/Q41523,,,Plutarque,40,Q13574678,120,,"auteur(e) de textes,philosophe","philosophe, biographe et moraliste grec de la Rome antique",,4,144,Q13574678,
Neptune,https://www.wikidata.org/wiki/Q3954,,,Neptune,,,,,personnage mythologique,dieu de la mythologie romaine,,4,143,,
PaoloVeronese,http://www.wikidata.org/entity/Q9440,Véronèse,Paolo,Caliari,1528,Verone,1588-04-19,Venise,"artiste,peintre",peintre italien de la Renaissance (1528–1588),,4,140,Q2028,Q641
Ciceron,https://www.wikidata.org/wiki/Q1541,Cicéron,Marcus Tullius,Cicero,-106-01-03,Arpino,-43-12-07,Q128086,"personnage politique,auteur(e) de textes,philosophe","orateur, homme politique et philosophe romain",,4,140,Q116440,Q128086
MarcantonioRaimondi,http://www.wikidata.org/entity/Q728375,Marcantonio Raimondi,Marcantonio,Raimondi,1480,Q94960,1534,Bologne,"artiste,graveur(euse)",orfèvre et graveur italien,,4,139,Q94960,Q1891
Neron,https://www.wikidata.org/wiki/Q1413,,,Neron,37-12-15,Q16010710,68-06-09,Rome,personnage politique,"cinquième empereur romain de 54 à 68, dernier représentant de la dynastie julio-claudienne",,4,135,Q16010710,Q220
AngeloDellaStufa,https://www.wikidata.org/wiki/Q138968251,Angelo della Stuffa,Angelo,della Stuffa,1407,,1481-10-01,,personnage politique,homme d'état et diplomate florentin du XVe siècle,,4,134,,
Virgile,https://www.wikidata.org/wiki/Q1398,Virgile,Publius,Vergilius Maro,-70-10-15,Q491753,-19-09-21,Brindisi,auteur(e) de textes,poète romain,,4,134,Q491753,Q13496
LorenzoAntinori,,,,,,,,,non identifié,,,2,133,,
SaintLaurent,https://www.wikidata.org/wiki/Q17590,,Laurent de,Rome,0225-12-31,Q100707898,0258-08-10,Rome,saint(e),saint catholique,,4,132,Q100707898,Q220
PierfrancescoGiambullari,https://www.wikidata.org/wiki/Q1754685,Pierfrancesco Giambullari,Pierfrancesco,Giambullari,1495,Florence,1555-08-24,Florence,"personnage du clergé,auteur(e) de textes",écrivain italien,,4,132,Q2044,Q2044
FrancoisIer,https://www.wikidata.org/wiki/Q129857,François Ier,,François Ier,1494-09-12,Q285,1547-03-31,Q191119,personnage politique,roi de France de 1515 à 1547 (1494-1547),,4,131,Q285,Q191119
Persee,https://www.wikidata.org/wiki/Q130832,,,Persée,,,,,personnage mythologique,héros de la mythologie grecque,,4,128,,
Protogene,https://www.wikidata.org/wiki/Q930914,,,Protogene,-400,Q608095,-360,,"artiste,peintre",peintre antique,,4,127,Q608095,
Strabon,https://www.wikidata.org/wiki/Q45936,,,Strabon,-63,Q27088966,23,Q27088966,mathématicien,"philosophe, historien, voyageur et géographe grec du 1er s. av. J.-C.",,4,127,Q27088966,Q27088966
Polydore,https://www.wikidata.org/wiki/Q2102799,,,Polydore,-200,Rhodes,-200,,personnage mythologique,sculpteur antique,,4,123,Q43048,
David,https://www.wikidata.org/wiki/Q41370,,,David,-1039,Q5776,-969,Jerusalem,personnage biblique,"personnage de la Bible, deuxième roi d'Israël",,4,123,Q5776,Q1218
AbrahamBosse,http://www.wikidata.org/entity/Q326215,Abraham Bosse,Abraham,Bosse,1604,Tours,1676-02-16,Paris,"artiste,peintre,graveur(euse)",graveur français (1604-1676),,4,123,Q288,Q90
Pompee,https://www.wikidata.org/wiki/Q125414,,,Pompée,-106-09-29,Q510990,-48-09-28,Peluse,"personnage politique,militaire","consul romain en 70, 55 et 52 av. J.-C.",,4,121,Q510990,Q1145715
Phidias,https://www.wikidata.org/wiki/Q177302,,,Phidias,-500,Q1524,-430,Athenes,"artiste,sculpteur",sculpteur grec du Ve siècle av. J.-C.,,4,120,Q1524,Q844930
Euclide,https://www.wikidata.org/wiki/Q8747,,,Euclide d'Alexandrie,-333,,-285,,mathématicien,mathématicien de la Grèce antique,,4,119,,
VincenzoMartelli,https://www.wikidata.org/wiki/Q21548773,,,,1509-10-11,,,,non identifié,,,2,119,,
Homere,https://www.wikidata.org/wiki/Q6691,,,Homère,-900,Chios,-800,Q216993,auteur(e) de textes,"poète épique de la Grèce antique, auteur de l’Illiade et de l’Odyssée",,4,117,Q160483,Q216993
ScipionAfricain,https://www.wikidata.org/wiki/Q2253,Scipion l'Africain,Publius Cornelius,Scipio Africanus,-235,Q1747689,-183,Q898417,"personnage politique,militaire",général et homme d'État romain,,4,117,Q1747689,Q898417
JulesII,https://www.wikidata.org/wiki/Q80516,Jules II,Giuliano,della Rovere,1443-12-05,Q270492,1513-02-21,Rome,pape,"216e pape de l’Église catholique, de 1503 à 1513",,4,114,Q270492,Q220
JacopoTintoretto,http://www.wikidata.org/entity/Q9319,Tintoretto,Jacopo,Robusti,1519,Venise,1594-05-31,Venise,"artiste,peintre",peintre italien de la Renaissance (1518/1519–1594),,4,112,Q641,Q641
Vulcain,https://www.wikidata.org/wiki/Q4640,,,Vulcain,,,,,personnage mythologique,"dieu romain du feu, de la forge, des volcans, etc.",,4,104,,
Ninfe,https://www.wikidata.org/wiki/Q373916,,,Ninfe,,,,,personnage mythologique,"divinité subalterne de la mythologie gréco-romaine, esprit de la nature, de sexe féminin",,4,102,,
SaintLuc,https://www.wikidata.org/wiki/Q128538,Luc l'Évangéliste,,Saint Luc,,Antioche,84,Thebes,saint(e),évangéliste du Nouveau Testament,,4,101,Q200441,Q11225429
Psyche,https://www.wikidata.org/wiki/Q843382,,,Psyché,,,,,personnage mythologique,personnage de la mythologie gréco-romaine,,4,100,,
Parmigianino,http://www.wikidata.org/entity/Q9348,Parmigianino,Girolamo Francesco Maria,Mazzola,1503-01-11,Parme,1540-08-24,Q42139,"artiste,peintre",peintre italien (1503-1540),,4,100,Q2683,Q42139
NiccoloTribolo,http://www.wikidata.org/entity/Q1360130,Il Tribolo,Niccolò,di Raffaello di Niccolò dei Pericoli,1497-05-17,Florence,1550-09-07,Florence,"artiste,sculpteur,architecte",artiste italien,,4,99,Q2044,Q2044
FerrantePandolfini,,,,,,,,,non identifié,,,2,98,,
AlessandroAlgardi,http://www.wikidata.org/entity/Q336798,L'Algarde,Alessandro,Algardi,1595-07-31,Bologne,1654-06-10,Rome,"artiste,sculpteur,architecte",sculpteur italien,,4,98,Q1891,Q220
Joseph,https://www.wikidata.org/wiki/Q128267,Joseph,,Joseph,-30,Q430776,20,Q430776,personnage biblique,"personnage biblique du Nouveau Testament, époux de Marie mère de Jésus",,4,97,Q430776,Q430776
Helene,https://www.wikidata.org/wiki/Q164061,,,Helene,,,,,personnage mythologique,"personnage de la mythologie grecque, épouse de Ménélas, le roi de Sparte",,4,97,,
AndreaMantegna,http://www.wikidata.org/entity/Q5681,Andrea Mantegna,Andrea,Mantegna,1431,Q18498195,1506-09-13,Mantoue,"artiste,peintre",peintre et graveur italien de la Renaissance,,4,97,Q18498195,Q6247
FrancescoPrimaticcio,http://www.wikidata.org/entity/Q333366,Le Primatice,Francesco,Primaticcio,1504-04-30,Bologne,1570,Paris,"artiste,peintre,architecte,sculpteur",peintre italien du XVIe s.,,4,97,Q1891,Q90
Horace,https://www.wikidata.org/wiki/Q6197,Horace,,Horace,-65-12-08,Q52691,-8-11-27,Rome,auteur(e) de textes,poète lyrique latin,,4,97,Q52691,Q220
BaccioBandinelli,http://www.wikidata.org/entity/Q358348,Baccio Bandinelli,Baccio,Bandinelli,1493-11-12,Florence,1560-02-07,Florence,"artiste,sculpteur,peintre",sculpteur italien,,4,96,Q2044,Q2044
SaintMarc,https://www.wikidata.org/wiki/Q31966,,,Saint Marc,12,Q23792,68-04-25,Alexandrie,saint(e),évangéliste du Nouveau Testament,,4,95,Q23792,Q87
SpinelloAretino,http://www.wikidata.org/entity/Q287934,Spinello Aretino,Spinello,di Luca Spinelli,1350,Arezzo,1410-03-14,Arezzo,"artiste,peintre",peintre italien,,4,94,Q13378,Q13378
PierreDeCortone,http://www.wikidata.org/entity/Q333323,Pierre de Cortone,Pietro,Berrettini,1596-11-01,Cortone,1669-05-16,Rome,"artiste,peintre,architecte",peintre et architecte italien,,4,93,Q52080,Q220
Pallas,https://www.wikidata.org/wiki/Q37122,,,Pallas,,Q70054479,,,personnage mythologique,"déesse de la sagesse, de la guerre et des artistes dans la religion grecque antique et la mythologie grecque",,4,92,Q70054479,
Parrhasios,https://www.wikidata.org/wiki/Q552759,,,Parrhasios,-500,Ephese,-460,,"artiste,peintre",peintre antique,,4,92,Q47611,
FrancescoGuidetti,https://www.wikidata.org/wiki/Q60843489,,,,1493,Florence,1565,Florence,non identifié,,,2,89,Q2044,Q2044
Moise,https://www.wikidata.org/wiki/Q9077,,,Moïse,-2000-00-00,Q771345,-1500-00-00,Q680161,personnage biblique,premier prophète du judaïsme,,4,87,Q771345,Q680161
AndreaPalladio,http://www.wikidata.org/entity/Q177692,Andrea Palladio,Andrea,di Pietro della Gondola,1508-11-30,Padoue,1580-08-19,Vicence,"artiste,auteur(e) de textes,architecte",architecte vénitien,,4,87,Q617,Q6537
Victoire,https://www.wikidata.org/wiki/Q308902,,,Victoire,,,,,personnage mythologique,divinité de la mythologie romaine,,4,87,,
GiambattistaMarino,https://www.wikidata.org/wiki/Q332489,,Giambattista,Marino,1569-10-14,Naples,1625-03-25,Naples,auteur(e) de textes,poète italien,,4,86,Q2634,Q2634
Socrate,https://www.wikidata.org/wiki/Q913,,,Socrate,-470,Q2839314,-399-02-15,Q1524,philosophe,philosophe de la Grèce antique,,4,84,Q2839314,Q1524
Varron,https://www.wikidata.org/wiki/Q206119,Varron,Marcus Terentius,Varro,-116,Q13396,-27,Rome,auteur(e) de textes,"écrivain, érudit et homme politique romain",,4,84,Q13396,Q220
Enee,https://www.wikidata.org/wiki/Q82732,,,Enée,,,,,personnage mythologique,personnage de la mythologie grecque,,4,82,,
Sibylle,https://www.wikidata.org/wiki/Q273320,,,Sibylle,,,,,personnage mythologique,prophétesse grecque aux oracles énigmatiques,,4,82,,
BernardoSegni,https://www.wikidata.org/wiki/Q823038,,Bernardo,Segni,1504-02-21,Florence,1558-04-13,Florence,auteur(e) de textes,historien italien,,4,80,Q2044,Q2044
SaintPaul,https://www.wikidata.org/wiki/Q9200,,,Saint Paul,5,Tarse,66,Rome,saint(e),apôtre et missionnaire des premiers chrétiens (vers 5 après J.-C. – vers 64/65),,4,80,Q134287,Q220
Noe,https://www.wikidata.org/wiki/Q81422,,,Noe,-2948,Mesopotamie,-1998,,personnage biblique,personnage de la Bible impliqué dans le récit du Déluge,,4,80,Q11767,
LodovicoDeMasi,,,,,,,,,non identifié,,,2,80,,
SebastianoSerlio,http://www.wikidata.org/entity/Q452318,Sebastiano Serlio,Sebastiano,Serlio,1475-09-06,Bologne,1554,Fontainebleau,"artiste,architecte",architecte italien et théoricien de l'architecture,,4,79,Q1891,Q182872
Praxitele,https://www.wikidata.org/wiki/Q105290,,,Praxitele,-395,Q1524,-330,,"artiste,sculpteur",sculpteur grec ancien,,4,78,Q1524,
Eve,https://www.wikidata.org/wiki/Q830183,,,Eve,-3760,Q19014,,,personnage biblique,"première femme, selon la Bible",,4,76,Q19014,
Adonis,https://www.wikidata.org/wiki/Q163920,,,Adonis,,,,,personnage mythologique,"dieu de la mythologie proche-orientale, grecque et romaine, fils de Cinyras et de sa fille Myrrha",,4,76,,
PolidoroDaCaravaggio,http://www.wikidata.org/entity/Q964822,Polidoro da Caravaggio,Polidoro,Caldara,1499,Caravaggio,1543,Messine,"artiste,peintre",peintre italien,,4,75,Q100145,Q13666
Tibere,https://www.wikidata.org/wiki/Q1407,,,Tibère,-42-11-16,Rome,37-03-16,Q401231,personnage politique,"deuxième empereur romain, de 14 à 37",,4,74,Q220,Q401231
Gaudenzio,http://www.wikidata.org/entity/Q734108,Gaudenzio Ferrari,Gaudenzio,Ferrari,1475,Valduggia,1546-01-31,Milan,"artiste,peintre,sculpteur,architecte",peintre italien,,4,73,Q25215,Q490
Ptolemee,,,,Ptolémée,,,,,personnage mythologique,,,2,68,,
CarloLenzoni,https://www.wikidata.org/wiki/Q24262721,,,,1501,Florence,1551,Florence,non identifié,,,2,68,Q2044,Q2044
Timanthe,https://www.wikidata.org/wiki/Q707873,,,Timanthe,-500,Q739779,-400,,"artiste,peintre",peintre antique,,4,68,Q739779,
PierSoderini,https://www.wikidata.org/wiki/Q289104,,Pier,Soderini,1450-05-18,Florence,1522-06-13,Rome,personnage politique,politicien italien,,4,67,Q2044,Q220
LippoMemmi,http://www.wikidata.org/entity/Q504963,Lippo Memmi,Filippo,di Memmo,1291,Sienne,1356,Sienne,"artiste,peintre",peintre italien,,4,67,Q2751,Q2751
Salomon,https://www.wikidata.org/wiki/Q37085,,,Salomon,-990,Q23792,-931,Jerusalem,personnage biblique,personnage biblique,,4,67,Q23792,Q1218
CharlesQuint,https://www.wikidata.org/wiki/Q32500,,Charles,Quint,1500-02-24,Gand,1558-09-21,Q936453,personnage politique,"roi des Espagnes et empereur du Saint-Empire d'origine flamande, au XVIe s.",,4,67,Q1296,Q936453
PietroDarica,,,,,,,,,non identifié,,,2,66,,
Pythagore,https://www.wikidata.org/wiki/Q10261,,,Pythagore,-582,Q13580795,-490,Metaponte,"mathématicien,philosophe",philosophe et mathématicien grec (vers 580-vers 495 avant JC),,4,65,Q13580795,Q1058770
SaintGeorges,https://www.wikidata.org/wiki/Q48438,,Georges de,Lydda,275,Kayseri,0303-04-23,Q209349,saint(e),saint catholique et orthodoxe (mort en 303),,4,64,Q48338,Q209349
Lysippe,https://www.wikidata.org/wiki/Q192222,Lysippe,Lysippe de,Sicyone,-390,Sicyone,-300,,"artiste,sculpteur",sculpteur et bronzier grec du IVe siecle av. J-C,,4,63,Q368628,
AgostinoCarracci,http://www.wikidata.org/entity/Q316269,Agustino Caracci,Agustino,Carracci,1557-08-16,Bologne,1602-03-22,Parme,"artiste,peintre",peintre et graveur italien,,4,63,Q1891,Q2683
Achille,https://www.wikidata.org/wiki/Q41746,,,Achille,,,,Troie,personnage mythologique,personnage de la mythologie grecque,,4,62,,Q22647
BaldassarrePeruzzi,http://www.wikidata.org/entity/Q177213,Baldassarre Peruzzi,Baldassarre,Peruzzi,1481-03-07,Sienne,1536-01-06,Rome,"artiste,peintre,architecte",peintre et architecte italien de la Renaissance (1481-1537),,4,62,Q2751,Q220
GiovanniFrancescoPenni,http://www.wikidata.org/entity/Q2327761,Il Fattore,Giovanni Francesco,Penni,1488,Florence,1520,Naples,"artiste,peintre",peintre italien,,4,62,Q2044,Q2634
Vesta,https://www.wikidata.org/wiki/Q178710,,,Vesta,,,,,personnage mythologique,déesse romaine,,4,61,,
MaturinoFiorentino,http://www.wikidata.org/entity/Q2606874,Maturino Fiorentino,Maturino,da Firenze,1490,Florence,1528,Rome,"artiste,peintre",peintre italien,,4,61,Q2044,Q220
